|title|review|sentiment
0|odlicno|super smestaj sve sto potrebno a zimski period apartman topao vrh jezero par koraka sto znaci centar krugu apartmankog naselja uvek tisina sto najbitnije vlasnica olja covek kojeg treba upaznati srdacna druzeljubiva usluzljiva itd znaci ni centru a ali bez onog svakodnevnog urbanog cool|1
1|Izuzetan|olivera odlicno puno putujemo ali ovakvog domacina nismo brizna pazljiva pomoci|1
2|Izuzetan|apartman prelep ispunjava potrebe cele porodice rado ponovo doci|1
3|Izuzetan|smestaj uredan cist olja domacin izvanredna niko jos nije usluzi konacno buduce nasli smestaj odgovara|1
4|izuzetan dozivljaj.|lokacija opremljenost objekta objekat opremljen svim potrebnim sadrzajima namestaj kvalitetan funkcionalan posudja sredstava ciscenje izobilju prelepa terasa|1
5|izuzetan dozivljaj.|trebalo postaviti kontejnere krugu objekta recimo kraju ulice belih rada a opreme objektu dodati mikrotalasnu pecnicu|-1
6|Феноменално!|смештај је изузетан као и локација уредно чисто све похвале|1
7|Izvanredan|lokacija domacica ambijent|1
8|ODLICNO|svaka preporuka|1
9|Izuzetan|mnogo reci a sve stanu savrseno odmor moji klinci pamtiti zauvek mesto zlatiboru nasli a novu prijateljicu|1
10|Izuzetan|izvanredan smestaj ljubaznost domacina|1
11|Dobar|higijena dvoriste…|1
12|Dobar|slab pritisak vode slab wi fi|-1
13|Prijatan|nije dopalo sto apartmanu neradesve sijalice poprilicno mracno a trava neursdna nije pokosena|-1
14|Prijatan|decko recepcijom zaista preljubazan susretljiv pobrinuo parking ranije presvucemo ostavimo stvari pobrinuo nadje taxi apartman dovoljno veliki a kuhinja dobro opremljena|1
15|Resite problem mrava!|najveca zamerka veliki broj mrava apartmanu islo dotle celu noc nisam mogla normalno spavam posto mravi gmizali po zaista neprihvatljivo najgore hostele a ne smestaj ujutru mrave izbacivala torbe laptopa itd smestaju uvece hladno dnevnu sobu kuhinju greje samo jedan mali radijator sto nije dovoljno slikama smestaja bazen ali bazen milmari hotelu udaljenom 2km vile a ovoga puta nije ni radio sto nigde nije pisalo prilikom rezervacije|-1
16|Prijatan|apartman nov cist pogled divan prevoz centra dobro funkcionise osoblje fino|1
17|Neutralno|bilo pozeljno svaka soba poseduje cajnik mikrotalasnu pec parking mesta bolje definisana sredjena|0
18|Negativno|nismo dobili apartman rezervisali objasnjenje guzva istoj nisu bas najbolje snasli jedina svetla tacka gospoda biljana docekala pokusala ublazi propuste njenih kolega jos napomenem gospoda biljana radnik recepciji spremacica domar domacin|-1
19|Izuzetan|cist ureden moderan udoban smestaj idealan porodice decom peda docekao dao dosta korisnih informacija sve vreme raspolaganju lokacija odlicna generalno divcibare pravi odmor dusu cist vazduh bez guzve sadrzaja taman treba|1
20|Izuzetno|izuzetna blizina planine lepim skijalistima ljubaznost osoblja mestana radnika skijalistima po restoranima|1
21|Izuzetno|idealan produzeni vikend 	sve istakli ljubaznost domacina|1
22|Veoma dobar|veoma lep cist udoban smestaj domacin ljubazan sve preporuke boravak decom|1
23|Odmor|objekat lokacija|1
24|Prezadovoljan sam uslugom!!!!|apartman vrlo cist udoban topao lepom mestu prijatno odrasle decu sve pohvale zaista sigurno opet doci|1
25|Izuzetan|sve bilo perfektno domacini veoma ljubazni srdacni uvek dostupni svaku mogucu preporuku pohvalu|1
26|Prijatan boravak na Divcibarama|odlicna lokacija dogovor divcibarom rucak povlascenim cenama|1
27|Izuzetno|pravi odmor zaposlene setnja boravak prirodi sve blizu mir tisina|1
28|Neutralno|vremenski uslovi domacin nije utice odlicno|0
29|Izuzetan|cistoca ljubaznost domacina lokacija odlicna okolina apartmana odlicna|1
30|Lose|manjak tv kanala manjak posudja|-1
31|Izuzetan|lepa vikendica dva minuta mecavnika ljubazni domacini nista nije falilo vikendici lep prijatan porodicni odmor pet dana|1
32|Izuzetan|sjajna lokacija prelepa topla brvnara divni domacini bas uzivali|1
33|Miran odmor u prirodi!|odlicno mesto odmor uzivali tisini prelepoj prirodi vole dodatnu udobnost stvara pec drva kuci dovoljno posuda zacina svega sto zatreba a ni dragstori nisu daleko|1
34|Lose|francuski lezaj sobi spratu iako postoji jos jedna soba prizemlju dovoljno velika takav krevet sto grejanja bilo prijatnije zimskom periodu|-1
35|Izvanredan|lokacija odlicna|1
36|Neutralno|nemam primedbi|0
37|Izuzetan|domacini super sporet stednjak prethodno zalozili bas bilo toplo iako grejanje struju nije bilo potrebe ali bilo autenticno prostor ogroman mesta viseclanu porodicu ili vise parova parking dvoristu tako auto sigurnom 	|1
38|Fantastičan boravak|sve bilo izuzuzetno|1
39|Lepo iskustvo|cistoca prostranost obejkta poseban dozivljaj sto sve drveta|1
40|Izuzetan|uredno cisto mirnom delu mokre gore sve preporuke mir udobnost domacini divni sigurno vracamo odlicno|1
41|Izuzetan|sve pohvale|1
42|Izvanredan|jedina mana zvucna izolacija tj ne postoji zvuk ne smanjuje kroz zidove a bilo savrseno svi zidovi lamperiji nije mana sugestija odlicno|0
43|Dobar|ljubaznost zaposlenih	1	beograd apart k aoartments & rooms 5 7 aerodrom blizu 	osoblje fantasticno uvek usluzi lako dogovorili svih detalja vazni pre odlaska aerodrom|1
44|Lose|soba mala uticnica visoko malo nezgodno kupatilo redu ocekivala soba prostranija pojedine sprave teretani nisu valjano radile a spa wellness centar zatvoreni restoranu cekala 45 minuta donese porudzbina nemaju kuhinju hotelu vec eksternog restorana dostavljaju hranu|-1
45|Dobar|sve bilo onako predstavljeno|0
46|Dobar|dorucak ok|0
47|Neutralno|soba suturenu nalazi kompletna rashlada|0
48|Dobar|dorucak odlican lokacija ne bas|0
49|Lose|bilo komaraca sobi|-1
50|Dobar|udoban krevet odlican dorucak lep akvarijum|1
51|Lose|nije radila kablovska nije bilo tople vode|-1
52|Prosječan|dopalo sto obezbijeden parking grijanje bilo dobro|1
53|Lose|morali zamijene hotel jedan dan prije puta sto nije ostavilo dovoljno vremena pronademo alternativni smjestaj vec morali prihvatimo njihovu alternativu smjesteni njihovom drugom hotelu manje kvalitetan 10 dana isti dorucak|-1
54|Prihvatljiv|ljudi stvarno pohvalu lanc paket cekao 3 ujutru recepciji devojka recepciji ljubazna usluzna|1
55|Lose|soba de facto podrumu prozorce 2 5m visine kolovoza parking njegovom nivou|-1
56|Lose|tri puta boravio svaki sledeci znatno losiji prethodnog podrumski smjestaj iako rezervisao mnogo ranije tus kabini zadrzava voda prozori iako podrumski tus kabini wc bez zastora rijedak zastor prozoru sobe jednog kreveta nema nocne lampe vrata prodire svijetlo citavu noc|-1
57|Izvanredno|osoblje odlicno dorucak izvanredan|1
58|Soba u podrumu?!|soba 002 podrumu minimumom prirodnog svjetla a naplacena bilo normalna soba jako neugodno iznenadenje bud tus kabini uracunata cijenu prilaz hotelu veoma nezgodan pravca aerodroma nalazi doslovno usred prometne raskrsnice|-1
59|Izuzetno|osoblje hotela ljubazno parking dobar a dorucak sasvim pristojan|1
60|Veoma dobar|osoblje preljubazno pozicija hotela odlicna svega par minuta hoda stize centra grada dorucak bogat raznovrstan sve preporuke|1
61|Izvanredan|skoro sve|1
62|Lose|pogled prozora|-1
63|9+|lokacija osoblje dorucak|1
64|Lose|minijaturna soba|-1
65|Doći ću ponovo|lokacija|1
66|Hotel je izvrstan. Mi smo bili vec dva puta. Izvrsna lokacija u samom centru grada.|hotel izvrstan dva puta izvrsna lokacija samom centru grada kvalitetan bogat dorucak preporucujem|1
67|Izvanredan|lokacija osoblje odlicno|1
68|Izvanredan|vrlo ljubzno osoblje cisto dobra lokacija|1
69|Lose|sobe zaista premale dorucak oskudan|-1
70|Ugodan boravak |lokacija fantasticna sauna teretana ali trenurno zatvorena cisto uredno vrlo ugodan boravak osoblje veoma srdacno narucila restorana salate room service vrlo ukusne|1
71|Lose|jastuci pre mekani pitala recepciji ali rekli samo sobe jednu osobu veoma male dorucak dobar ali pitala svjeze napravljena jaja rekli moram doplatiti|-1
72|Sve u svemu boravak u hotelu je bio iznimno ugodan.|lokacija hotela izvanredna sve dostupno pjesackoj udaljenosti osoblje hotela vrlo ljubazno usluzno sobe ciste uredne sve sto potrebno jedina mana hotela malo slabiji dorucak ali ok obzirom covid mjere parking takoder problematican ukoliko vrijeme niste rezervisali dostupnih hotelskih mjesta nemaju dovoljno morate parkirati javnih parkinga blizini|0
73|Lose|manjak parking mjesta hotela problematican sto cini slucaj vecine gradskih hotela trebali navesti broj parkirnih mjesta ogranicen cuvaju po redoslijedu prijava rezervacija|-1
74|Izvanredno|par podgorica 	mlad ljubazan personal cisto uredno korektan dorucak operativan parking blizina atraktivnih lokacija setaliste save 10 minuta hoda pjesacka zona kosancicev obilicev raznovrsnom ponudom restorana kafica 5 minuta hoda toplo preporucujem|1
75|Izvanredno|nemam zamjerki|1
76|Prostran apartman, lepo uređan, prijatni domaćini :)|prostran apartman lepo uredan prijatni domacini odlicno|1
77|Izvanredan|lokacija kreveti udobni klima svidelo sto papuce|1
78|Lose|kupatilu mozda fali grejalica ume hladno|-1
79|Izuzetan|локација удобни кревети и јастуци|1
80|Лоше|било је хладно инвертер клима није довољна да загреје цео простор стрмо степениште|-1
81|Izuzetan|top lokacija dobri domacini sve pohvale|1
82|Odlično|fenomenalan smestaj samom centru odmah setalista sve bilo cisto lepo sredeno domacin nemanja veoma ljubazan|1
83|Izuzetan|dobra lokacija cist apartman gazdarica prijatna|1
84|Lose|bucni gosti|-1
85|Ispod svih očekivanja, sve osim lokacije.|smestaj mnogo manji sto prikazano fotografijama vesto fotografisano stvari samo soba franc lezajem bez predsoblja a prozor sobi gleda fasadu susedne kuce udaljene pola metra|-1
86|Izvanredno|lokacija izuzetna strogi centar kroz pasaz dunavske ulice|1
87|Prijatan|bilo cisto cisto kupatilo tv ok|1
88|Lose|ozbiljna buka smestaja sto nije receno nema klima uredjaja|-1
89|Izuzetan|sve bilo odlicno odlicno|1
90|Super|sve biloo super domacin jos bolji|1
91|Izuzetan|prostor odlican a sobe veoma prostrane sauna jaccuzi odlicni higijena nivou domacin opusten ljubazan svakom preporucila odlicno|1
92|Bilo nam je lepo! |extra dovoljno tople vode|1
93|Lose|roletne mogle bolje funkcionisu|-1
94|Sve u svemu...lep dan! |gazda zakon sinovi malo vise aktiviraju posla|1
95|Lose|dorucak ubaci smestaj|-1
96|Izuzetan|zaista bilo potpuno savrseno jos lepse uzivo slikama sadrzaji objekta super domacin vrlo ljubazan zaista svaka preporuka vredelo svakog dinara vraticemo sigurno odlicno|1
97|Izuzetno|odlicna lokacija parking|1
98|Razočarani|prilikom dolaska jos torbu nismo spustili domacin odmah napomenuo drugoj recenici razgovora odmah naplacuju usluge apartmana nije apartman vec dve sobe kupatilo ovom smestaju ne apartmanu bez ikakvog stila izmedu ostalog nema papuca nema nijedna casa nemozete ni vodu popiti ili sok nema nijedna posuda cetkice kupatilu prosto nije dovoljno ubaciti jacuzzi kupatilo baviti turizmom smestaj verovatno osmisljen neke dnevne varijante mladih ljudi ponavljam bez ikakvog stila recimo neki ukras po policama saksija cveca slika zidu lampa dn boravku novac sve dobiti pravim apartmanima novom sadu slike prilicno varaju|-1
99|Izuzetan|prostran apartman vlasnik jako ljubazan odlicna lokacija prijatna atmosfera sve pohvale|1
100|Veoma dobar|spa odlican bazen cist lokacija dobra soba uredna|1
101|Lose|kuhinja haoticna nije bilo ocisceno neoprani sudovi mrve stolu|-1
102|Sjajno|sve bilo odlicno udoban krevet sobe privatnim dakuzijem saunom besplatan parking nedaleko centra|1
